Date,Value
2015-09-15,924674.4
2015-09-14,810256.5
2015-09-13,808141.81
2015-09-12,1044415.29
2015-09-11,1019359.04
2015-09-10,852524.08
2015-09-09,851509.24
2015-09-08,826486.75
2015-09-07,959839.2
2015-09-06,893388.69
2015-09-05,881886.8
2015-09-04,866697.62
2015-09-03,898267.92
2015-09-02,874008.96
2015-09-01,923760.0
2015-08-31,819141.99
2015-08-30,946656.56
2015-08-29,877903.33
2015-08-28,855555.96
2015-08-27,892476.0
2015-08-26,771519.5
2015-08-25,842084.76
2015-08-24,787802.6
2015-08-23,869575.88
2015-08-22,904694.07
2015-08-21,909597.0
2015-08-20,892100.96
2015-08-19,926771.5
2015-08-18,932483.9
2015-08-17,950836.71
2015-08-16,950836.71
2015-08-15,894962.52
2015-08-14,900557.27
2015-08-13,997387.5
2015-08-12,830459.0
2015-08-11,1130128.35
2015-08-10,1162172.07
2015-08-09,900570.06
2015-08-08,1065525.72
2015-08-07,999936.81
2015-08-06,979548.5
2015-08-05,900084.96
2015-08-04,1035690.0
2015-08-03,1051958.61
2015-08-02,1108164.12
2015-08-01,1160777.2
2015-07-31,999862.58
2015-07-30,994670.04
2015-07-29,1093613.4
2015-07-28,1056073.48
2015-07-27,1135825.74
2015-07-26,1014092.77
2015-07-25,1104263.52
2015-07-24,1213267.9
2015-07-23,1037676.64
2015-07-22,1028008.16
2015-07-21,984206.16
2015-07-20,1011196.84
2015-07-19,991991.37
2015-07-18,1124555.52
2015-07-17,1007435.76
2015-07-16,945029.52
2015-07-15,1128304.1
2015-07-14,1025923.61
2015-07-13,1060744.1
2015-07-12,1081003.5
2015-07-11,1074503.5
2015-07-10,1130127.24
2015-07-09,945214.56
2015-07-08,1051752.0
2015-07-07,1000621.44
2015-07-06,1169750.23
2015-07-05,986961.56
2015-07-04,1004340.48
2015-07-03,1039532.5
2015-07-02,898066.26
2015-07-01,940636.8
2015-06-30,945633.06
2015-06-29,873579.6
2015-06-28,917924.4
2015-06-27,799424.5
2015-06-26,896744.42
2015-06-25,971550.72
2015-06-24,912266.24
2015-06-23,877380.24
2015-06-22,917161.05
2015-06-21,742685.61
2015-06-20,823037.76
2015-06-19,999108.3
2015-06-18,960479.25
2015-06-17,893357.04
2015-06-16,759112.9
2015-06-15,890981.28
2015-06-14,844662.0
2015-06-13,913282.74
2015-06-12,786071.64
2015-06-11,891497.0
2015-06-10,905199.7
2015-06-09,935586.6
2015-06-08,807120.0
2015-06-07,932248.8
2015-06-06,906939.6
2015-06-05,799318.9
2015-06-04,804501.18
2015-06-03,807176.43
2015-06-02,824901.27
2015-06-01,771728.0
2015-05-31,855431.6
2015-05-30,720632.16
2015-05-29,929799.54
2015-05-28,784167.68
2015-05-27,855635.0
2015-05-26,800308.48
2015-05-25,851874.75
2015-05-24,850507.02
2015-05-23,719414.01
2015-05-22,857382.5
2015-05-21,906004.0
2015-05-20,836349.0
2015-05-19,792416.6
2015-05-18,813151.55
2015-05-17,1022577.86
2015-05-16,760292.19
2015-05-15,983664.0
2015-05-14,837456.48
2015-05-13,986656.8
2015-05-12,957828.66
2015-05-11,913514.79
2015-05-10,775494.0
2015-05-09,762777.12
2015-05-08,909134.8
2015-05-07,945553.59
2015-05-06,846721.89
2015-05-05,907195.56
2015-05-04,782431.21
2015-05-03,832645.62
2015-05-02,863705.57
2015-05-01,861356.7
2015-04-30,785569.33
2015-04-29,731686.98
2015-04-28,877280.4
2015-04-27,771274.35
2015-04-26,816453.96
2015-04-25,902741.4
2015-04-24,696484.88
2015-04-23,815702.72
