"time","timeDate","close","high","low","open","volumefrom","volumeto"
1502755200000,"2017-08-15",212.03,213.43,198.39,210.69,27162.74,5574675.16
1502841600000,"2017-08-16",217.24,219.14,205.1,212.03,18686.93,3979828.16
1502928000000,"2017-08-17",208.9,218.24,205.61,217.24,20932.23,4449648.1
1503014400000,"2017-08-18",200.01,211.81,199.1,208.9,22194.89,4565949.13
1503100800000,"2017-08-19",232.81,247.4,190.95,200.01,49044.8,10726071.81
1503187200000,"2017-08-20",240.05,252.51,224,232.81,36252.03,8587936.38
1503273600000,"2017-08-21",237.28,258.1,230.04,240.05,37285.22,9173034.91
1503360000000,"2017-08-22",226.03,239.74,207.15,237.28,30112.68,6733539.35
1503446400000,"2017-08-23",227.68,239.93,223.46,226.03,25447.18,5849681.22
1503532800000,"2017-08-24",227.48,231.87,223.91,227.68,14929.44,3399462.18
1503619200000,"2017-08-25",237.9,256.86,227.05,227.48,31403.25,7558279.41
1503705600000,"2017-08-26",299.63,300.11,235.75,237.9,66821.42,18218046.53
1503792000000,"2017-08-27",273.78,299.85,265,299.63,32940.94,9147522
1503878400000,"2017-08-28",276.17,281.91,254.91,273.78,36838.33,9977445.7
1503964800000,"2017-08-29",270.04,277.19,264.47,276.17,28836.61,7813900.57
1504051200000,"2017-08-30",275.18,281.3,268.32,270.04,26812.82,7352709.17
1504137600000,"2017-08-31",286.49,287.75,271.6,275.18,27112.33,7516714.02
1504224000000,"2017-09-01",306.36,312.25,282.86,286.49,46921.52,13935080.25
1504310400000,"2017-09-02",251.87,311.29,232.2,306.36,53558.12,14393733.32
1504396800000,"2017-09-03",262.72,270.97,241.17,251.87,40548.27,10400413.8
1504483200000,"2017-09-04",219.9,263.89,199.78,262.72,55245.5,12486590.53
1504569600000,"2017-09-05",229.78,238.75,197.93,219.9,36953.08,8112985.96
1504656000000,"2017-09-06",247.51,250.42,226.42,229.78,34526.75,8271627.29
1504742400000,"2017-09-07",248.11,252.17,235.57,247.51,38083.38,9284725.81
1504828800000,"2017-09-08",220.97,248.6,212.09,248.11,47004.32,10716282.64
1504915200000,"2017-09-09",219.25,223.47,209.26,220.97,37037.57,8023020.05
1505001600000,"2017-09-10",217.27,227.55,198.43,219.25,49238.88,10478919.11
1505088000000,"2017-09-11",213.69,222.43,210.01,217.27,30280.63,6506891.19
1505174400000,"2017-09-12",209.71,224.95,205.04,213.69,40034.23,8601790.61
1505260800000,"2017-09-13",198.93,211.66,182.69,209.71,61695.51,12070939.69
1505347200000,"2017-09-14",161.93,206.83,161.02,198.93,82248.21,14776009.43
1505433600000,"2017-09-15",187.02,192.54,142.58,161.93,86620.59,14473592.34
1505520000000,"2017-09-16",179.36,190.78,168.91,187.02,29091.65,5226252.73
1505606400000,"2017-09-17",177.04,180.4,168.49,179.36,32331.19,5638986.45
1505692800000,"2017-09-18",195.02,196.6,176.91,177.04,41304.25,7849028.33
1505779200000,"2017-09-19",188.5,197.06,184.09,195.02,34010.74,6426715.01
1505865600000,"2017-09-20",188.25,194.01,183.66,188.5,21447.53,4063971.05
1505952000000,"2017-09-21",175.41,191.82,174.88,188.25,34807.49,6363256.61
1506038400000,"2017-09-22",196.12,204.69,175.06,175.41,78314.38,15191074.95
1506124800000,"2017-09-23",204.83,216.4,192.28,196.12,52457.04,10891298.4
1506211200000,"2017-09-24",205.57,208.2,199.66,204.83,22662.29,4588775.28
1506297600000,"2017-09-25",231.3,235.27,201.53,205.57,61801.44,13711393.46
1506384000000,"2017-09-26",232.13,235.71,228.85,231.3,25692.58,5965599.82
1506470400000,"2017-09-27",286.72,298.09,229.73,232.13,175232.9,48320834.38
1506556800000,"2017-09-28",311.19,428.42,281.54,286.72,384414.2,129932039
1506643200000,"2017-09-29",289.83,312.25,270.28,311.19,116876.46,33621408.46
1506729600000,"2017-09-30",278,294.86,275.82,289.83,49964.94,14276449.08
1506816000000,"2017-10-01",265.54,280.38,264.76,278,30213.84,8272787.59
1506902400000,"2017-10-02",257,278.53,253.82,265.54,54599.05,14352589.05
1506988800000,"2017-10-03",252.65,261.12,236.73,257,45950.15,11360329.51
1507075200000,"2017-10-04",237.31,253.51,236.18,252.65,27544.89,6699836.86
1507161600000,"2017-10-05",256.03,267.27,227.07,237.31,62794.25,15488990.79
1507248000000,"2017-10-06",257.95,274.64,252.43,256.03,45668.76,11968172.48
1507334400000,"2017-10-07",254,259.71,244.46,257.95,29650.57,7470652.81
1507420800000,"2017-10-08",242.19,257.59,241.01,254,26857.9,6725097.45
1507507200000,"2017-10-09",229.39,243.53,223.48,242.19,38049.08,8902807.65
1507593600000,"2017-10-10",234.53,243.35,225.96,229.39,31177.47,7349921.9
1507680000000,"2017-10-11",236.24,239.63,231.12,234.53,16906.61,3984708.13
1507766400000,"2017-10-12",226.92,237.5,226.03,236.24,33063.13,7671451.87
